AN,TAB,Seed
1125,"THE OLDEST CHINESE LOANWORDS IN THE TOCHARIAN LANGUAGES Tocharian tribes of Indo-European origin settled along the northern edge of the Tarim Basin (now @62 Xinjiang, China) around 2000 BC. Living on the ancient trade route leading from China to Europe, they controlled an important section of the Silk Road, miming along the Taklamakan Desert M for about three millennia. The Tocharians were the first Indo-Europeans who came into contact with a Sino-Tibetan population, in particular with Chinese tribes. The author analyses the oldest Chinese borrowings which entered the two Tocharian languages in the Old Chinese period (1000-200 BC), as well as in the epoch of the Han Dynasty (206 BC-220 AD) and in the Early Middle Chinese period (ca. 600 AD). The Tocharians adopted various achievements of Old Chinese civilization, e.g. the terms for 'rice' (Toch. AB klu OCh. fr1), `brandy' (Toch. <- VA), damp' (Toch. AB cok <- EMCh. A), 'pot' (Toch. B lwake OCh. ph1), or 'abacus' (Toch. B;sip:Mk/tic <- EMCh. @@1,'J). They also took over Chinese names of measures and units that proved useful in trade, e.g. Toch. B cak 'hundred quarts' ( OCh. E), Toch. B cane* 'cash' (<- OCh. Toch. B tau 'ten quarts' (<- EMCh. Toch. B sank 'a measure of volume' (<- EMCh. ft). The term for a larger settlement (Toch. A ri, B rive `town, city' <- OCh. 'village, community') was also borrowed in the Old Chinese era, as was the name of the last month of the year (Toch. B *rap < OCh. it). In the early phase of the Middle Chinese period, Tocharian tribes also borrowed the Chinese name of a beautifully-colored exotic bird (Toch. A ythmasi, BA/mats/ 'a kind of waterfowl' <- EMCh. 'parrot').",
1126,"Microwave-assisted regeneration of spent activated carbon containing zinc acetate and its application for removal of congo red The spent activated carbon (AC) loaded with zinc acetate from the vinyl acetate synthesis industry has been used as a raw material to prepare AC-ZnO porous adsorbents using microwave irradiation technique with three different activating agents. The morphology and surface chemical compositions of the prepared samples were characterized by X-ray diffraction, scanning electron microscope, Fourier transform infrared spectroscopy, and N-2 adsorption-desorption isotherm. The regenerated AC-ZnO composites exhibited a well-developed porous structure with Brunauer-Emmett-Teller surface area in excess of 1,100 m(2)/g, and the ZnO nanoparticles decomposed from zinc acetate loaded on the surface of the regenerated AC without aggregation. The adsorption performance of the AC-ZnO composites was further evaluated by adsorbing Congo Red (CR) from aqueous solutions. The experimental isotherms data were analyzed using Langmuir, Freundlich, and Temkin models. Langmuir and Temkin models were found to satisfactorily match the experimental data with the maximum CR adsorption capacity of 16.72 mg/g for the sample activated by CO2 at 308 K. Similarly, the kinetics of adsorption were tested with pseudo-first-order, pseudo-second-order, and intraparticle diffusion models, and the data were found to conform to the pseudo-second-order kinetics with high correlation coefficient. The intraparticle diffusion model indicated external film diffusion, and intraparticle diffusion has taken place during the adsorption process.",
1127,"Astronomically tuned Plio-Pleistocene benthic delta O-18 record from South China Sea and Atlantic-Pacific comparison Based on benthic foraminiferal delta(18)O from ODP Site 1143, a 5-Myr astronomical timescale for the West Pacific Plio-Pleistocene was established using an automatic orbital tuning method. The tuned Brunhes/Matuyama paleomagnetic polarity reversal age agrees well with the previously published age of 0.78 Ma. The tuned ages for several planktonic foraminifer bio-events also agree well with published dates, and new ages for some other bio-events in the South China Sea were also estimated. The benthic 5110 from Site 1143 is highly coherent with the Earth's orbit (ETP) both at the obliquity and precession bands for the last 5 Myr, and at the eccentricity band for the last 2 Myr. In general, the 41-kyr cycle was dominant through the Plio-Pleistocene although the 23-kyr cycle was also very strong. The 100-kyr cycle became dominant only during the last I Myr. A comparison of the benthic delta(18)O between the Atlantic (ODP 659) and the East and West Pacific (846 and 1143) reveals that the Atlantic-Pacific benthic oxygen isotope difference ratio (Deltadelta(18)O(Atl-Pac)) displays an increasing trend in three time intervals: 3.6-2.7 Ma, 2.7-2.1 Ma and 1.5-0.25 Ma. Each of the intervals begins with a rapid negative shift in Deltadelta(18)O(Atl-Pac), followed by a long period with an increasing trend, corresponding to the growth of the Northern Hemisphere ice sheet. This means that all three intervals of ice sheet growth in the Northern Hemisphere were accompanied at the beginning by a rapid relative warming of deep water in the Atlantic as compared to that of the Pacific, followed by its gradual relative cooling. This general trend, superimposed on the frequent fluctuations with glacial cycles, should yield insights into the processes leading to the boreal glaciation. Cross-spectral analyses of the Deltadelta(18)O(Atl-Pac) with the Earth's orbit suggests that after the initiation of Northern Hemisphere glaciation at about 2.5 Ma, obliquity rather than precession had become the dominant force controlling the vertical structure or thermohaline circulation in the paleo-ocean. (C) 2002 Elsevier Science B.V. All rights reserved.",
1128,"Warning! Fluoride debate ahead The fluoridation of South Africa's piped water supplies is set to continue despite increasing concerns over its potential implications on health and the environment. While the international debate has raged for more than 50 years, the South African wrangle started in 2000 when the Department of Health (DOH) published its fluoridation regulations in the Government Gazette. This legislation obligates the country's water service providers to fluoride water to a concentration of up to 0.7 mg/e. However, the regulations have come under severe fire from politicians and water professionals alike. Earlier this year, the majority of the members of the public who gathered at Johannesburg Water objected to fluoridation of their water supplies. At a recent meeting of Parliament's Water Affairs Portfolio Committee, the plans to fluoridate South Africa's water encountered adverse reaction from committee members, including chair Buyelwa Sonjica of the ANC, who said that there was no clear evidence that the country should go ahead with the implementation of the regulations. The majority of the committee members agreed that there was not enough conclusive research done on the issue (particularly in the South African context) that would lead the committee to believe that the fluoridation of water was or was not in the best interest of South Africans. Meanwhile, water professionals across the country have expressed their discontent with the regulations.",
1129,"Non-Darcian flow to a well in a leaky aquifer using the Forchheimer equation Non-Darcian flow to a well in a leaky aquifer was investigated using a finite difference method. Flow in the leaky aquifer is assumed to be non-Darcian and horizontal, while flow in the aquitard is assumed to be Darcian and vertical. The Forchheimer equation was employed to describe the non-Darcian flow in the aquifer. The finite difference solution was compared with the solution of Birpinar and Sen (2004). The latter overestimates the drawdown at early times and underestimates the drawdown at late times; also, the impact of beta (D) on the drawdown depends on the value of B (D), where beta (D) is a dimensionless turbulent factor in the Forchheimer equation and B (D) is the dimensionless leakage parameter. The impact of leakage on drawdown is similar to that of Darcian flow. A sensitivity analysis indicated that the drawdown is very sensitive to the change in the dimensionless well radius r (cD) when B (D) is relatively large, while it is sensitive to the change in B (D) when B (D) is relatively small. The numerical solution has been applied to analyze the pumping test data in Chaj-Doab area of Pakistan. Birpinar ME, Sen Z (2004) Forchheimer groundwater flow law type curves for leaky aquifers. J Hydrol Eng 9(1):51-59.",
1130,"Evaluating the genesis and dominant processes of groundwater salinization by using hydrochemistry and multiple isotopes in a mining city The increasing salinization of groundwater renders it challenging to maintain the water quality. Moreover, knowledge regarding the characteristics and mechanism of groundwater salinization in mining areas remains limited. This study represents the first attempt of combining the hydrochemical, isotope (Î´D, Î´(18)O, Î´(37)Cl, and (87)Sr/(86)Sr) and multivariate statistical analysis methods to explore the origin, control, and influence of fluoride enrichment in mining cities. The TDS content of groundwater ranged from 275.9Â mg/L to 2452.0Â mg/L, and 54% of the groundwater samples were classified as class IV water according to China's groundwater quality standards (GB/T 14848-2017), indicating a decline in the water quality of the study area. The results of the groundwater ion ratio and isotope discrimination analysis showed that dissolution and evaporation involving water-rock interactions and halite were the main driving processes for groundwater salinization in the study area. In addition to the hydrogeological and climatic conditions, mine drainage inputs exacerbated the increasing salinity of the groundwater in local areas. The mineral dissolution, cation exchange, and evaporation promoted the F(-) enrichment, while excessive evaporation and salinity inhibited the F(-) enrichment. Gangue accumulation and infiltration likely led to considerable F(-) enrichment in individual groundwater regions. Extensive changes in the groundwater salinity indicated differences in the geochemical processes that controlled the groundwater salinization. Given the particularity of the study area, the enrichment of salinization and fluoride triggered by mining activities cannot be ignored.",
1131,"Performance index modeling for urban water system using hierarchical fuzzy inference approach In developing country like India, water management is growing exploding and all these water resources should maintain in the developing countries. There are many failures in the urban water system occur because of lack of assessment of present and future conditions. This needs a performance assessment method to assess performance and inform any irregularity for better performance of the urban water system. In this paper, we find performance index value through an integrated hierarchical fuzzy inference approach for urban water system. There are eight important parameters used as input for the proposed integrated hierarchical fuzzy inference model. This integrated modeling minimizes the different conditions in the rule base. For a very large set, reduction in rule is significant because of simplicity and interpretation. Additional, it is very important to design many rules because that requires skilled expertise; otherwise, it will lead to unexpected incidents. As compared to traditional fuzzy inference with integrated hierarchical fuzzy inference, a design that needs only fewer rules. For the proposed model, we take only 165 rules and for the similar eight variables, the traditional inference approach of fuzzy requires 250,000 rules. For this study, we select eight variables as input because these taken from the survey of a city. This proposed method will also used for the system with several parameters. In traditional fuzzy inference, there are several rules exponentially increases, also with the additional of new parameters. Integrated hierarchical fuzzy inference approach used for computing the performance index of the whole system. The index values traces the possibility of system failure and results shows the performance values under different circumstances. Â© Springer Nature Singapore Pte Ltd 2020.",
1132,"Soil moisture response to snowmelt timing in mixed-conifer subalpine forests Western US forest ecosystems and downstream water supplies are reliant on seasonal snowmelt. Complex feedbacks govern forest-snow interactions in which forests influence the distribution of snow and the timing of snowmelt but are also sensitive to snow water availability. Notwithstanding, few studies have investigated the influence of forest structure on snow distribution, snowmelt and soil moisture response. Using a multi-year record from co-located observations of snow depth and soil moisture, we evaluated the influence of forest-canopy position on snow accumulation and snow depth depletion, and associated controls on the timing of soil moisture response at Boulder Creek, Colorado, Jemez River Basin, New Mexico, and the Wolverton Basin, California. Forest-canopy controls on snow accumulation led to 12-42cm greater peak snow depths in open versus under-canopy positions. Differences in accumulation and melt across sites resulted in earlier snow disappearance in open positions at Jemez and earlier snow disappearance in under-canopy positions at Boulder and Wolverton sites. Irrespective of net snow accumulation, we found that peak annual soil moisture was nearly synchronous with the date of snow disappearance at all sites with an average deviation of 12, 3 and 22days at Jemez, Boulder and Wolverton sites, respectively. Interestingly, sites in the Sierra Nevada showed peak soil moisture prior to snow disappearance at both our intensive study site and the nearby snow telemetry stations. Our results imply that the duration of soil water stress may increase as regional warming or forest disturbance lead to earlier snow disappearance and soil moisture recession in subalpine forests. Copyright (c) 2014 John Wiley & Sons, Ltd.",
1133,"[Cutaneous manifestations of arsenicisme in Burkina Faso: epidemiological and clinical features] The main aetiology of human arsenic toxicity provide from natural geological source. The characteristic skin lesions of arsenic toxicity may be used as an indicator of high exposure. We have registered 45 cases. The age bracket was one to 70 years. We have registered 27 women (60%) and 18 men (40%). The cutaneous manifestations have been dominated by the palmo plantar hyperkeratosis and hyperpigmentations (77,8% each one). The urinary concentrations of arsenic were 13 microg/l to 212 microg/l; they were 69 to 101 microg/l in the drinking water localized in the golden area, however they were normal outside this area. The clinical features were similar with the description of the literature. Intoxication of drinking water is problem of public health and we recommend checking all the other golden areas to find some appropriate solutions.",1
1134,"Validation of two applied methods of groundwater vulnerability mapping: application to the coastal aquifer system of Southern Sfax (Tunisia) The coastal aquifers system of Sfax Agareb Chaffar Mahres (Southern Sfax) located in the central east of Tunisia is well known for population growth and industrial development. These industrial and agricultural developments have led to the degradation of water quality. In this study, DRASTIC and GALDIT models were integrated with geographical information system (GIS) tools, in order to assess the aquifers vulnerability to pollution and the seawater intrusion risk. These methods use different parameters explaining the different results in the vulnerability degrees in the Aghereb-Chaffar-Mahres aquifer system. The vulnerability map to contamination as well as vulnerability to seawater intrusion showed three classes of vulnerability: low, moderate and high, depending on the intrinsic properties. In addition, the risk map showed three risk classes: low, moderate and high depending on hydrogeological characteristics, land use, distance from the coast and human impacts in the majority of the study area. GIS is used to manage, manipulate and analyze the necessary geographical data used in the different vulnerability methods. These maps could serve as a scientific basis for sustainable land use planning and groundwater management in Southern Sfax.",
1135,"Adsorption performance and mechanistic study of heavy metals by facile synthesized magnetic layered double oxide/carbon composite from spent adsorbent To reuse the spent magnetic MgAl-layered double hydroxide after humic acid adsorption, this work provided a simple calcination method to prepare the magnetic layered double oxide/carbon (Mag-LDO/C) nanocomposite. The characterization results indicated the Mag-LDO/C was a carbonaceous composite with a large number of functional groups and superparamagnetic property. Then the adsorption performance of Mag-LDO/C for heavy metals was studied by batch experiments. The Mag-LDO/C exhibited excellent removal efficiencies for Cd(II), Pb (II), and Cu(II) with maximum adsorption capacities of 386.1, 359.7, and 192.7 mg/g, respectively. The batch sorption data were studied by the pseudo-second-order kinetic equation and the Langmuir isothermal model, and they matched well. According to the zeta potentials, X-ray diffraction patterns, and X-ray photoelectron spectra of Mag-LDO/C after heavy metals adsorption, the interaction mechanisms were ascribed to the precipitation, surface complexation, and electrostatic attraction. After reaction, the solid-liquid separation of Mag-LDO/C could quickly achieve using a magnet. Additionally, the Mag-LDH/C exhibited excellent adsorption capacities in various simulated wastewater and well sorption recyclability, proving the valuable applications of Mag-LDO/C synthesized from spent adsorbent for metal ions removal in actual water environment.",
1136,"Forchheimer & ancient hydraulic works in Turkey Forchheimer has dealt with the remains of ancient water supply systems of Istanbul and Ephesus during his stay in Turkey in the periods of 1889-1891 and 1914-1918. His findings were published in 1890 in the ""Zeitschrift des Vereins Deutscher Ingenieure"", in 1893 as a book in Vienna with J. Strzygowski as co-author, and in 1923 as part of book of the Austrian Archeological Institute.",
1137,"Recycled crustal melt injection into lithospheric mantle: implication from cumulative composite and pyroxenite xenoliths A rare composite xenolith and abundant cumulative pyroxenites obtained from the Mesozoic Fangcheng basalts on the eastern North China Craton record a complex history of melt percolation and circulation in the subcontinental lithospheric mantle. The composite xenolith has a dunite core and an olivine clinopyroxenite rim. The dunite is of cumulative origin and has a granular recrystallized texture and extremely low Mg# [100 Mg/(Mg + Fe) = 81-82] contents in olivines. The olivine clinopyroxenite contains larger clinopyroxene and/or orthopyroxene with a few fine-grained olivine and tiny phlogopite, feldspar, and/or carbonate minerals interstitial to clinopyroxene. The clinopyroxene has low Mg# (83-85). Compositional similarity between dunitic olivine and pyroxenitic one indicates a sequential crystallization of dunite and pyroxenite from a precursor melt. Pyroxenite xenoliths include olivine websterites and clinopyroxenites, both are of cumulative origin. Estimation of the melt from major oxides in olivines and REE concentrations in clinopyroxenes in these composite and pyroxenite xenoliths suggests a derivation from subducted crustal materials, consistent with the highly enriched EMII-like Sr and Nd isotopic ratios observed in the pyroxenites. Occurrence of phlogopite, feldspar and carbonate minerals in some xenoliths requires the melt rich in alkalis (K, Na), silica and volatiles (water and CO2) at the latest stage as well, similar to highly silicic and potassic melts. Thus, the occurrence of these composite and pyroxenite xenoliths provides an evidence for voluminous injection of recycled crustal melts into the lithosphere beneath the southeastern North China Craton at the Late Mesozoic, a reason for the rapid lithospheric enrichment in both elemental and isotopic compositions.",
1138,"Application of composite fly ash gel to extinguish outcrop coal fires in China This paper presents the application of composite fly ash gel injection technology, along with several other methods to help extinguish outcrop coal fires (excavation, blasting and sealing). The Haibaoqing coal fires extended for 6000-7000 m across similar to 1000-m-wide area, part of which was simulated by Fluent to determine the distribution of high temperature and the situation of leakage. The radon-test method was used to accurately detect the extent of the burning area, along with the degree and tendency of burning. The areas were then separated into three distinct regions: north, middle and south. The gel injecting and monitoring boreholes were then installed in the regions. A comprehensive application of composite fly ash gel injection technology, excavation, blasting and sealing was used to extinguish the outcrop coal fire. After subsurface blasting, the composite gel was injected into the coal seams to extinguish and prevent re-ignition of the fires by filling in new areas created by the blasting and forming an effective composite coverage in order to prevent combustion. Boreholes monitored temperature and CO concentrations during the entire process to indicate when the fire was extinguished, along with extended monitoring to verify no combustion reoccurred. Using this combination of methods has proven to effectively extinguish the coal fires at reasonable costs in the region.",
1139,"Tris(pentafluoroethyl)trifluorophosphate-basd ionic liquids as advantageous solid-phase micro-extraction coatings for the extraction of organophosphate esters in environmental waters Ionic liquids (ILs) containing the tris(pentafluoroethyl)trifluorophosphate [FAP] anion and various cations have great potential in sample preparation because of their excellent hydrophobicity, thermostability and low hydrolysity. In the present study, a [FAP]-based IL, 1-hexyl-3-methylimidazolium tris (pentafluoroethyl) trifluoro phosphate ([HMIM][FAP]), was used as coatings of solid-phase microextraction (SPME) for extracting organophosphate esters (OPEs) from environmental water samples. This SPME fiber was fabricated by coating a stainless steel wire substrate with [HMIM][FAP] via a simple direct dip-coating approach, and the extraction was conducted by the direct immersion solid phase microextraction. Coupling to gas chromatography mass spectrometry (GC-MS), the developed SPME method exhibited excellent selectivity and sensitivity towards the extraction of 11 OPEs from aqueous samples. Satisfactory linearity (R-2 >= 0.99) of the calibration curves was obtained over the range of 0.05-50.0 ng mL(-1) with the limits of detection (LODs, S/N = 3) and limits of quantification (LOQs, S/N = 10) ranged from 0.13-7.40 ng L-1 and 0.50-24.0 ng L-1, respectively. The proposed SPME method showed excellent extraction efficiency to OPEs with enrichment factors in the range of 168-2603, and acceptable reproducibility with relative standard deviations (RSDs) <= 15% for single fiber (n = 7) and <= 16% for fiber-to-fiber (n = 3 x 3) at a concentration level of 0.5 ng mL(-1), respectively. The prepared IL-based fiber was successfully applied to determine eleven common used OPEs in tap water, influent and effluent of sewage treatment plant, with results are comparable to those determined by the reference (UPLC-MS/MS), and spiked recoveries in the range of 84.0-108%, 82.1-123% and 82.8-100%, respectively. (C) 2016 Elsevier B.V. All rights reserved.",
1140,"A brief study of adsorption of Congo red dye over sawdust of Cedrus deodara Adsorptive removal of Congo red dye from aqueous media has been carried out by using sawdust of Cedrus deodara saw as an efficient adsorbent by evaluating different parameters such as adsorbent dosage, contact time, pH, initial dye concentration, and temperature at constant shaking time of five minutes by using a Benchtop orbital shaker to homogenize adsorption medium that develops more attractive forces between C. deodara saw and dye molecules lead to higher adsorption values. The C. deodara saw surface morphology was monitored by Fourier transform infra-red spectroscopy and scanning electron microscopy analysis. The adsorption experimental data was studied by applying the Langmuir, Freundlich, and Dubinin-Radushkevich isothermal models, and data was well obeyed by D-R isotherm based on R-2 and SSE (0.996, 0.004) values. The kinetics of the adsorption process was investigated by pseudo-first-order, pseudo-second-order, liquid film, and intra-particle diffusion models. Kinetics indicated that the pseudo-second-order model behaves as the most favored model with a 1.0 R-2 value but the adsorption process can also be explained with the help of more than one kinetic mechanism (liquid film and intra-particle models). The values for thermodynamic parameters such as Delta G, Delta S, and Delta H were indicating the spontaneity and endothermic nature of the reaction. The applicability of the developed procedure was studied in tap water with 94% removal of Congo red dye. These results suggested that sawdust of C. deodara could be used as a low-cost alternative waste material adsorbent for synthetic dye removal.",
1141,"Folate Deficiency, Hyperhomocysteinemia, Low Urinary Creatinine, and Hypomethylation of Leukocyte DNA Are Risk Factors for Arsenic-induced Skin Lesions BACKGROUND: Arsenic methylation relies on folate-dependent one-carbon metabolism and facilitates urinary As elimination. Clinical manifestations of As toxicity vary considerably among individuals and populations, and poor methylation capacity is thought to confer greater susceptibility. OBJECTIVE: After determining that folate deficiency, hyperhomocysteinemia, and low urinary creatinine are associated with reduced As methylation, and that As exposure is associated with increased genomic methylation of leakocyte DNA, we asked whether these factors are associated with As-induced skin lesion risk among Bangladeshi adults. METHODS: We conducted a nested case-control study of 274 cases who developed lesions 2 years after recruitment, and 274 controls matched to cases for sex, age, and water As. RESULTS: The odds ratios and 95% confidence intervals (CIs) for development of skin lesions for participants who had low folate (< 9 nmol/L), hyperhomocysteinemia (men, > 11.4 mu mol/L; women, > 10.4 mu mol/L), or hypomethylated leukocyte DNA at recruitment (< median) were 1.8 (95% Cl, 1.1-2.9), 1.7 (95% Cl, 1.1-2.6), and 1.8 (95% Cl, 1.2-2.8), respectively. Compared with the subjects in the first quartile, those in the third and fourth quartiles for urinary creatinine had a 0.4-fold decrease in the odds of skin lesions (p < 0.01). CONCLUSIONS: These results suggest that folate deficiency, hyperhomocysteinemia, and low urinary creatinine, each associated with decreased As methylation, are risk factors for As-induced skin lesions. The increased DNA methylation associated with As exposure previously observed, and confirmed among controls in this study, may be an adaptive change because hypomethylation of leukocyte DNA is associated with increased risk for skin lesions.",
1142,"High uranium concentrations in groundwater in Burundi Uranium occurs naturally in groundwater and frequently exceeds maximum admissible concentration levels. Here we present the results of a study from Burundi where dissolved uranium concentrations can exceed 700 mu g/L. A conceptual model is proposed that relates these high levels to strong evapotranspiration of groundwater where uranium appears by dissolution of minerals from the granitic host rock. The proposed model is consistent with water balance considerations and corroborated by simulations using the geochemical code PHREEQC. Varying degrees of evapotranspiration, mineral dissolution and uranium concentrations of the source rock account for the large variation of the chemical composition of groundwater observed in the study area. These findings highlight the need for caution when developing water supply systems in the vicinity of groundwater discharge zones characterized by strong evapo-concentration. (C) 2017 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license.",1
1143,"Principle and capacity quantification of deep-borehole heat exchangers Deep-Borehole Heat Exchanger (DBHE) is generally installed as a co-axial pipe in deep boreholes. The DBHE can obtain heat without extracting groundwater. Literature review shows that the specific heat extraction rate of DBHE is less than 200 W . m(-1), which is much smaller than that by conventional hydrothermal exploitation systems. Using both analytical and numerical methods, we evaluated the capacity of DBHE with representative parameters in northern China. Three modeling scenarios were constructed using the simulator OpenGeoSys, including (1) shortterm (4 months) continuous heat extraction; (2) short-term heat extraction with half-day intervals and (3) long-term (30 years) continuous heat extraction. Results show that the sustainable heat extraction rates in all continuous extraction scenarios are less than 150 W.m(-1). While in the intermittent scenario, the rate could be doubled, but will lead to larger fluctuations in the outflow temperature. Sensitivity analysis indicates that the depth of borehole is not a significant influencing factor to the heat extraction rate, while the heat conductivity of surrounding formation is critical. Finally, we point out that the basic need in order to increase the specific heat extraction rate of a DBHE is to increase the convection in the surrounding formation, or in other words, the contact area between circulation water and formation.",
1144,"Modeling Equitable Distribution of Water: Dynamic Inversion-Based Controller Approach It is a well-known fact that most of the developing countries have intermittent water supply and the quantity of water supplied from the source is also not distributed equitably among the consumers. Aged pipelines, pump failures, and improper management of water resources are some of the main reasons for it. This study presents the application of a nonlinear control technique to overcome this problem in different zones in the city of Bangalore. The water is pumped to the city from a large distance of approximately 100km over a very high elevation of approximately 400m. The city has large undulating terrain among different zones, which leads to unequal distribution of water. The Bangalore, inflow water-distribution system (WDS) has been modeled. A dynamic inversion (DI) nonlinear controller with proportional integral derivative (PID) features (DI-PID) is used for valve throttling to achieve the target flows to different zones of the city. This novel approach of equitable water distribution using DI-PID controllers that can be used as a decision support system is discussed in this paper.",
1145,"Physicochemical Profile of Ground Water in Bahawalpur City, Pakistan: Hazardous Aspects Analysis of ground water of Bahawalpur city, Pakistan, has been made to evaluate its suitability for domestic use. Water samples from populated areas of the city were subjected to various physicochemical investigations. Physical properties of ground water were assessed by determining color, odor, electrical conductivity (EC), total dissolved salts (TDS), alkalinity, hardness and dissolved oxygen (DO). Whereas, its chemical nature was evaluated by estimating pH, Cl-, F-, NO3-, SO4-2, Cl-, F-, essential (Na, K, Ca, Mg) and heavy (Fe, Ni, Cr, As, Pb) metals. The presence of coliform bacteria was also checked and 75% samples were found contaminated. The analysis of physicochemical data, with reference to PSI and WHO standards, revealed that some of the estimated parameters were well within the limit, while others exceeded hydrochemical standards. The data was also subjected to correlation study to check the association among estimated parameters. Relation of important water quality parameters with pH was sketched graphically to understand variation in their amount with the change in pH. The study suggests proper treatment of ground water to ensure citizen's safety from hazardous effects associated with elevated concentration of toxic components.",1
1146,"Assessing of genotoxicity of 16 centralized source-waters in China by means of the SOS/umu assay and the micronucleus test: Initial identification of the potential genotoxicants by use of a GC/MS method and the QSAR Toolbox 3.0 Only few studies were conducted to assess genotoxicity of centralized source waters in China and almost none of them dealt with the causal relationship between the genotoxic effect and genotoxicants. In this work, 16 centralized source waters in China were sampled from five river systems and genotoxicity of their organic extracts was assessed by use of the SOS/umu test for DNA-damaging effect and the miniaturized flow cytometry-based micronucleus (MN) test for chromosome-damaging effect. In addition, initial identification of potential genotoxicants for the six samples from the Yangtze River was done with a GC/MS method and the QSAR toolbox 3.0. The results demonstrate that eight samples showed both indirect and direct DNA-damaging effects, another four samples showed only indirect DNA-damaging effects, while chromosome-damaging effects were found for 14 out of the 16 samples, in which aneugenic and clastogenic modes of action were found for 4 and 10 samples, respectively. Both direct/indirect DNA-damaging effects and chromosome-damaging effects were induced by the six Yangtze River samples, and the existing different types of genotoxicant confirmed the results. Furthermore, o-phenylphenol was initially identified as the major cause for the DNA-damaging effects while PAHs, pesticides, phenol and anthraquinone were identified as ubiquitous chromosome-damaging agents among these samples. In conclusion, a combination of the SOS/umu test and the miniaturized flow cytometry-based MN test to detect both DNA-damaging and chromosome-damaging effects could be used as a comprehensive genotoxicity assessment tool for the evaluation and classification of genotoxicity of complex mixtures, and potential genotoxicants can be initially identified with additional information from chemical analysis and the QSAR toolbox. (C) 2014 Published by Elsevier B.V.",
1147,"Identifying and assessing human activity impacts on groundwater quality through hydrogeochemical anomalies and NO(3)(-), NH(4)(+), and COD contamination: a case study of the Liujiang River Basin, Hebei Province, P.R. China In the face of rapid economic development and increasing human activity, the deterioration of groundwater quality has seriously affected the safety of the groundwater supply in eastern China. Identifying and assessing the impact of human activities is key to finding solutions to this problem. This study is an effort to scientifically and systematically identify and assess the influence of human activities on groundwater based on irregularities in hydrochemical properties and water contamination, which are considered to directly result from anthropogenic activity. The combination of the hydrochemical anomaly identification (HAI) and the contaminant identification (CI) was proposed to identify the influence of human activities on groundwater quality. And the degree of abnormality was quantified by the background threshold value. The principal component analysis (PCA) and land use map were used to verify the reliability of the identification result. The final result show that the strong influence areas mainly distributed in the south of the basin and the affected indicators contained the major elements and NO(3)(-), NH(4)(+), COD. Impacts from anthropogenic activities can be divided into two types: mine drainage that disrupts natural water-rock interaction processes, agricultural cultivation, and sewage emissions that contribute to nitrate pollution.",
1148,"BEYOND THE DECADE - A FRAMEWORK FOR GLOBAL COOPERATION The International Drinking Water Supply and Sanitation Decade (IDWSSD) was launched by the General Assembly of the United Nations in November 1980 with the goal ""to provide all people with water of safe quality and adequate quantity and basic sanitary facilities by 1990"". The World Bank estimates that despite the efforts during the Decade less than 50 percent of developing country populations have access to adequate water supplies and only 20 percent to adequate sanitation facilities. Major factors for the situation are the continuing population explosion and the economic stagnation of developing countries. Qualitative breakthroughs have been made however, through (i) improved coordination for sector inputs at the global and country levels, (ii) systematic formulation of country strategies, (iii) rationalization of the management of the sector, and most significantly through (iv) community involvement and (v) the adoption of low-cost sustainable and replicable technolgies. The UNDP/World Bank Programme and the UNDP/WHO Decade Programmes have played a catalytic role in developing activities in these five areas. To maintain Decade momentum beyond 1990 and to accelerate the provision of water supply and sanitation services to all, with emphasis on the unserved rural and peri-urban poor, by using a coordinated programme ""Decade""approach, a Framework for Global Cooperation has been established. A series of meetings of a Collaborative Council of External Support Agencies (ESAs) is involved, leading to a global consultation in India in 1990 for all developing countries to define and achieve consensus on a water and sanitation sector strategy for ""Beyond the Decade"".",
